,mslp_pc_0_daily,mslp_pc_1_daily,mslp_pc_2_daily,mslp_pc_3_daily,mslp_pc_4_daily
1979-01-01,-1090.4515,164.90233,-1298.4504,877.35504,-68.02629
1979-01-02,-1309.3595,-100.040955,-737.69104,524.5439,-340.95422
1979-01-03,-993.42834,637.37286,-466.08914,83.97379,-23.544626
1979-01-04,-1379.4363,744.8815,-855.41626,335.35236,858.63855
1979-01-05,-1225.0692,-224.5921,99.3386,780.53217,398.0994
1979-01-06,-304.30496,-691.3537,1306.1584,487.1358,337.95383
1979-01-07,619.39545,-1230.4951,949.17163,-310.21045,518.7734
1979-01-08,1124.0066,-1136.3523,112.957054,-560.23224,119.60134
1979-01-09,1349.2142,-351.68707,-256.21634,-71.58021,213.27388
1979-01-10,1745.0631,1028.3743,-1175.2998,290.36783,110.39446
1979-01-11,1192.0651,1241.5354,-1991.6436,974.0235,362.91357
1979-01-12,-221.93161,916.46454,-1847.3701,1109.5333,47.43571
1979-01-13,-1169.1144,490.20044,-1358.1696,615.63385,-426.49405
1979-01-14,-2157.7483,550.0799,-628.969,100.40318,-764.41425
1979-01-15,-2747.6587,487.8023,71.05832,580.1362,-521.071
1979-01-16,-2813.8945,29.924133,205.87889,587.79156,325.29318
1979-01-17,-3376.45,340.13617,-571.6372,-120.30078,669.1997
1979-01-18,-3626.4392,1024.2516,-621.65027,-651.8643,842.3472
1979-01-19,-3106.0386,1336.8333,-703.3602,-1045.9156,552.58496
1979-01-20,-2880.6157,1333.4548,-701.97845,-573.28864,-231.26881
1979-01-21,-2768.9443,1021.6951,-333.75534,-710.55756,312.99493
1979-01-22,-1953.7249,807.0293,-657.4695,-762.7473,547.48724
1979-01-23,-1021.1776,518.59454,-801.6335,29.71011,664.633
1979-01-24,-60.243767,1058.5823,-1182.812,97.2926,654.2811
1979-01-25,580.9574,1500.1704,-1653.8047,19.758446,546.84644
1979-01-26,1221.1552,1271.4839,-1335.1166,-18.393501,890.1832
1979-01-27,1674.9281,1420.118,-966.7856,-245.36867,828.74194
1979-01-28,1458.8947,1527.8588,-1027.5331,-197.98079,665.11206
1979-01-29,791.63934,1125.4017,-822.7963,340.2651,433.21878
1979-01-30,545.68164,695.6363,-289.14948,994.2567,163.45804
1979-01-31,839.3667,443.8647,-341.992,392.90817,-100.91873
1979-02-01,1472.4839,928.3356,-667.68756,-275.3964,302.5097
1979-02-02,2005.145,651.7518,-1007.956,80.40287,691.2937
1979-02-03,1959.6741,340.6221,-1462.1067,-93.50925,307.46213
1979-02-04,1666.9181,815.2464,-1568.1909,-525.5848,241.43498
1979-02-05,940.1053,859.5934,-1254.0183,-59.043198,489.91095
1979-02-06,295.9346,906.4653,-673.8548,-136.12962,406.63754
1979-02-07,559.67725,883.59174,-959.5801,-492.20053,839.68353
1979-02-08,776.2166,686.5258,-1497.8629,-854.231,818.22327
1979-02-09,1066.3284,815.47076,-1983.0039,-1319.6528,359.0935
1979-02-10,963.19867,1392.7327,-2085.8467,-1117.9406,564.98956
1979-02-11,621.6227,1730.3131,-1734.9469,-799.40015,794.7245
1979-02-12,790.9375,2303.3718,-1688.4897,-605.21735,665.7974
1979-02-13,673.70557,2351.504,-1885.3131,193.52783,148.13757
1979-02-14,-260.05292,1652.1062,-1733.3606,456.88766,578.4325
1979-02-15,-1644.2733,574.51825,-1147.2975,683.3105,833.85187
1979-02-16,-2545.64,664.3273,96.1757,18.388317,577.56146
1979-02-17,-2370.8044,1462.8767,704.29553,-332.06158,291.94788
1979-02-18,-1932.1669,1521.8566,782.3636,288.92654,71.09173
1979-02-19,-1899.5251,1012.37,1329.6763,402.51797,2.6555538
1979-02-20,-1929.2815,716.7506,1750.2903,-174.97873,-72.18473
1979-02-21,-1736.6,33.234585,1381.7906,119.289536,268.249
1979-02-22,-1725.193,-575.20886,783.8964,351.88254,249.69545
1979-02-23,-2174.1494,-1012.18475,-62.69993,-158.81143,-32.395355
1979-02-24,-2405.2598,-919.45233,537.41187,93.17101,-480.5848
1979-02-25,-1550.6603,-1527.745,1124.0735,203.19337,7.787945
1979-02-26,-165.94604,-1960.7404,645.6013,-645.1989,333.42224
1979-02-27,763.1951,-689.6598,931.72845,-389.89972,-244.13191
1979-02-28,1405.4547,305.57523,1371.4171,461.58826,505.06732
1979-03-01,1180.767,-87.04571,1763.1877,630.58856,439.33752
1979-03-02,1739.0155,-690.9029,2323.295,97.39743,242.21097
1979-03-03,2258.8325,-1563.8623,2050.5762,-333.86453,470.93677
1979-03-04,1677.602,-1951.0215,1428.15,-274.50186,366.83224
1979-03-05,1192.084,-1267.9202,1205.0911,-519.1814,182.75551
1979-03-06,1315.7582,-57.42116,793.7135,-560.73157,401.0751
1979-03-07,1345.8724,-417.87872,398.90024,-82.12108,545.0484
1979-03-08,1814.8296,-260.71475,1402.2494,321.37048,132.81088
1979-03-09,2609.8225,233.9238,1058.8756,741.2014,418.66626
1979-03-10,1915.689,406.4177,168.9604,773.5123,22.177963
1979-03-11,1716.6438,878.81445,228.68317,665.9655,-188.37004
1979-03-12,1155.6196,427.5943,-676.40735,479.77228,-162.44443
1979-03-13,-6.4624248,352.7828,-1578.4216,59.20502,-154.56096
1979-03-14,-809.7221,539.51215,-1944.533,180.23158,184.90778
1979-03-15,-971.84625,1139.3763,-1712.9438,442.23016,257.56277
1979-03-16,-1033.7529,1610.3986,-1931.5403,478.40955,359.4337
1979-03-17,-630.94824,1433.8643,-1856.9972,71.73098,250.30301
1979-03-18,233.36143,1107.7583,-1128.7439,-105.02402,502.8395
1979-03-19,1527.0715,797.00134,-448.85538,-197.66501,984.6074
1979-03-20,1782.4071,921.315,-638.5675,-420.8577,921.9889
1979-03-21,1311.8141,768.48096,-693.1186,-179.0306,462.66116
1979-03-22,904.3794,335.66113,-563.1564,-268.59097,47.907623
1979-03-23,249.59518,145.91031,-343.70178,-178.05655,-75.33101
1979-03-24,67.04938,749.7991,84.20685,-627.9228,-139.94514
1979-03-25,1267.1346,1212.6785,594.4118,-499.5203,568.81573
1979-03-26,2365.114,763.28595,500.63116,104.89745,662.84875
1979-03-27,2322.3083,1111.3156,-81.66322,388.91388,601.3005
1979-03-28,905.49493,736.72284,-936.83435,953.3165,905.2346
1979-03-29,-343.2042,240.6222,-1183.4581,1309.5885,459.792
1979-03-30,-176.34853,-25.525108,-725.9617,1548.2192,83.04243
1979-03-31,490.8581,-118.76815,-215.38269,1363.1981,-222.4479
1979-04-01,394.19586,253.33714,-195.99661,1032.0802,-521.5475
1979-04-02,132.9724,603.73645,-507.74362,827.1312,-440.67825
1979-04-03,-22.579243,758.1856,-1051.9521,708.2904,-152.53987
1979-04-04,-349.33368,755.96564,-900.90375,490.0516,-78.014534
1979-04-05,-918.57574,551.0282,-628.26056,478.24295,-74.04376
1979-04-06,-1385.6389,532.3686,-715.5455,385.21783,-126.607864
1979-04-07,-1787.2217,655.7942,-792.25024,9.6753025,-44.07934
1979-04-08,-1860.6573,915.46515,-518.5231,-366.49316,214.49052
1979-04-09,-1348.1444,1387.4349,-348.22116,-532.9223,341.96567
1979-04-10,-948.4749,1931.5256,-522.5892,-509.63297,175.9471
1979-04-11,-542.0256,1843.0933,-622.9972,-551.9075,-4.7783012
1979-04-12,-399.26,1661.9755,-344.64246,-831.21136,-581.27576
1979-04-13,-341.91772,1080.9658,-275.9368,-727.8351,-310.8147
1979-04-14,-429.82623,-116.95032,-752.66125,-645.3258,-259.9621
1979-04-15,-1530.4381,-315.7026,-378.44998,-216.47958,-823.82056
1979-04-16,-1828.295,-238.66876,-33.02105,30.769123,-596.9642
1979-04-17,-1659.7594,-401.17395,44.098087,606.3091,-386.55136
1979-04-18,-1123.5721,-579.838,663.8043,740.6043,-465.67993
1979-04-19,-19.213974,-767.15625,1292.3615,534.79553,-394.0405
1979-04-20,677.20374,-880.40753,897.6319,597.7293,-216.81458
1979-04-21,1146.5967,-485.64444,371.04605,610.35345,-250.30548
1979-04-22,1448.0194,25.696808,195.06464,427.2243,-277.8664
1979-04-23,1778.2177,565.96136,-115.44245,293.03503,68.619514
1979-04-24,1266.9637,201.01863,-489.66565,621.5131,324.9244
1979-04-25,357.55707,-321.79105,-557.2376,520.8826,71.66649
1979-04-26,-537.9011,-799.0883,-429.9233,345.70026,6.327346
1979-04-27,-441.58737,-1283.7139,-64.77677,393.093,-87.03898
1979-04-28,704.6149,-1398.3717,94.5899,560.9933,293.58655
1979-04-29,2192.2668,-1242.6802,-252.15515,179.57425,498.42477
1979-04-30,2453.8794,-1337.954,-987.1161,-154.12782,422.93524
1979-05-01,2030.6777,-870.5784,-739.6431,-207.55356,431.76892
1979-05-02,1568.7188,-389.38696,-540.38574,268.48993,599.3849
1979-05-03,1116.4352,-324.5291,-312.3109,368.23752,287.65866
1979-05-04,372.96536,-656.32635,-226.56717,87.65951,223.99883
1979-05-05,-239.58984,-825.53674,-72.522934,-21.96443,181.29782
1979-05-06,-562.911,-588.3207,47.334896,-1.0801742,-132.68254
1979-05-07,-348.67093,-362.2158,75.44137,-409.31137,-238.67348
1979-05-08,-588.875,-297.68286,217.4352,-431.51877,89.8681
1979-05-09,-853.0593,-491.49805,286.83044,-98.98414,15.615641
1979-05-10,-731.49567,-606.81744,412.886,43.330795,-518.07245
1979-05-11,-587.27386,-702.8658,347.41614,-154.37468,-566.6424
1979-05-12,-751.72864,-708.9322,550.74774,-202.20996,-441.48703
1979-05-13,-365.0652,-587.16614,1138.793,-19.01182,-351.55548
1979-05-14,540.81287,-1085.8989,950.9172,-428.61624,183.77718
1979-05-15,798.2067,-560.58496,443.74344,-462.66592,173.93
1979-05-16,1007.0209,390.38052,27.010855,-493.83432,21.424963
1979-05-17,1337.8058,363.20334,-219.78691,-205.40771,306.67477
1979-05-18,998.8602,-550.3919,-218.46664,-417.04324,716.29486
1979-05-19,644.66583,-233.18443,295.14224,-364.12283,152.41559
1979-05-20,270.93494,646.5955,443.0163,-534.0935,-84.142044
1979-05-21,314.42798,1074.7303,693.25977,-127.25933,-172.39087
1979-05-22,543.47736,767.4907,780.9428,-180.27507,-38.50664
1979-05-23,557.4382,718.11084,397.95264,-211.16797,30.284246
1979-05-24,633.3926,843.71906,263.63455,64.12259,142.46115
1979-05-25,979.58875,612.42017,101.2129,-212.4215,256.18372
1979-05-26,1088.208,535.50464,318.7277,-503.54483,512.52014
1979-05-27,795.31714,834.53186,215.34714,-483.31003,262.1255
1979-05-28,640.9219,853.12054,204.125,-704.9068,-76.71479
1979-05-29,641.7957,359.70157,701.0859,-512.5943,162.41756
1979-05-30,-63.750546,69.91597,590.3223,-130.49637,516.5342
1979-05-31,-924.81976,467.24072,249.78604,-111.71103,51.7716
1979-06-01,-1129.6022,152.24323,675.4601,106.328186,98.634476
1979-06-02,-1807.3479,-154.5803,568.2127,-218.30115,122.54305
1979-06-03,-2112.1455,213.03847,511.4974,-150.12549,-217.36116
1979-06-04,-1369.6523,13.997982,460.2123,83.08457,-161.16573
1979-06-05,-680.1561,-285.25696,408.9372,220.25528,-54.158714
1979-06-06,-406.78488,-539.651,265.99747,167.86523,-63.678223
